,name,price,item
3,Sony PS3 Playstation 3 With 2 Controllers and Games,,Playstation 3
4,Sony Playstation 3 PS3 Super Slim CECH-4001C 500GB White 2 Controllers,,Playstation 3
5,PlayStation 3 PS3 CECH-2001A Slim 120GB Console W/ Box 7 Games+3 Cont TESTED ,,Playstation 3
6,Black Sony PlayStation 3 Slim Console - As Is Tested CECH-2001B,,Playstation 3
7,Sony PlayStation 3 PS3 Slim 120GB Console - TESTED - CECH-2001A (Console Only),,Playstation 3
8,MASSIVE PS3 80gb Backwards Compatible CECHE01 PlayStation Move Bundle + 29 Games,,Playstation 3
9,Black Sony PlayStation 3 Super Slim Console - As Is Tested No HDD,,Playstation 3
10,Sony PlayStation 3 80GB Black Console.  *TESTED AND WORKING*,,Playstation 3
11,Sony Playstation 3 PS3 Slim 320gb Console + 11 games,109.0,Playstation 3
12,Super Sony PlayStation 3 80GB Console + 8 Games + Controller +Cable :0),,Playstation 3
13,Sony PlayStation 3 PS3 Fat 40GB Black Console - TESTED- CECHG01 (Console Only) ,,Playstation 3
14,Sony PlayStation 3 Fat 60 GB CECHA01 Console Only Backwards Compatible Works,269.95,Playstation 3
15,80GB Sony PlayStation 3 PS3 - CECHL01,,Playstation 3
16,320GB Sony PlayStation 3 PS3 Slim - CECH-2501B,,Playstation 3
17,Sony PlayStation 2 PS2 Slim BLACK scph-77001 3PC BUNDLE Tested Working!,69.99,Playstation 3
18,Sony PlayStation 3 PS3 Slim CECH-3001B 320GB Console ( LOT 9003) ,47.0,Playstation 3
19,120GB Sony PlayStation 3 PS3 Slim - CECH-2001A,,Playstation 3
20,"Sony PlayStation 3 Slim 120GB PS3 Console, Controller, 4 Games CECH-2001A TESTED",,Playstation 3
21,Complete Sony PlayStation 3 120GB Black Console System in Box Works perfectly,54.0,Playstation 3
22,Sony PlayStation 3 - 150 GB - Black Console,,Playstation 3
23,"Sony PlayStation 3 Fat Console CECHL01 PS3, with Games and Controller. ",46.0,Playstation 3
24,3.55 OFW Official Firmware SONY PlayStation 3 PS3 Slim 120GB CECH 2001A Black,,Playstation 3
25,Playstation 3 Slim 160 gb/New In Box!!,,Playstation 3
26,Sony PlayStation 3 PS3 Super Slim System (250GB) TESTED AND WORKING! ,91.0,Playstation 3
27,Playstation 3 system REBUG CFW 4.86 multiman 1 TB w/ 2 controllers,,Playstation 3
28,"PlayStation 3 CECHE01 80GB Backwards Compatible w/2 Controllers, Remote Tested",,Playstation 3
29,160GB Sony PlayStation 3 PS3 Slim - CECH-3001A,,Playstation 3
30,PLAYSTATION 3 PS3 FAT CONSOLE,,Playstation 3
31,SONY PlayStation 3 PS3 Slim 120 GB System Console Bundle Lot 10 GAMES Controller,,Playstation 3
32,80gb PS3 backwards compatible Playstation 3 Works Well CECHE01,,Playstation 3
33,"PS3 Super Slim 500GB CECH-4001C & Controller, Cables, Sony PlayStation 3 Console",,Playstation 3
34,Sony PlayStation 3 PS3 Super Slim 500GB White Console W/ 2 Controller 8 Games,,Playstation 3
35,Sony Playstation 3 FAT 80GB CECHK01 Game Console,,Playstation 3
36,SONY PLAYSTATION 3 SLIM PS3 120GB W/ CONTROLLER & CABLES + 5 Games Black Ops 2!,113.5,Playstation 3
37,PS3 Sony Playstation 3 80gb Fully Backwards Compatible CECHE01 Bundle W/ Games,,Playstation 3
38,Sony PlayStation 3 PS3 Slim Console with Wireless Controller & Cables,184.99,Playstation 3
39,"1Playstation 3 Ps3 Console system 250gb, 320gb w/ 2 controllers, games FAST SHIP",199.99,Playstation 3
